"alert.close.button": "Close"
"avatareditor.cancel": "Cancel"
"avatareditor.category.ca": "Jewelry"
"avatareditor.category.cc": "Jackets"
"avatareditor.category.ch": "Shirts"
"avatareditor.category.cp": "Prints"
"avatareditor.category.ea": "Goggles"
"avatareditor.category.effects": "Effects"
"avatareditor.category.fa": "Masks"
"avatareditor.category.ha": "Hats"
"avatareditor.category.hd": "Face & Body"
"avatareditor.category.he": "Accessories"
"avatareditor.category.head": "Head"
"avatareditor.category.hotlooks": "Hot Looks"
"avatareditor.category.hr": "Hair"
"avatareditor.category.legs": "Legs"
"avatareditor.category.lg": "Trousers"
"avatareditor.category.sh": "Shoes"
"avatareditor.category.torso": "Torso"
"avatareditor.category.wa": "Belts"
"avatareditor.category.wardrobe": "Wardrobe"
"avatareditor.effects.active.daysleft": "%days_left% days"
"avatareditor.effects.active.permanent": "Permanent"
"avatareditor.effects.active.timeleft": "%time_left% left"
"avatareditor.effects.no_effects": "It seems you have no effects available, get some in the Catalogue!"
"avatareditor.effects.shop": "Buy more"
"avatareditor.effects.stopusing": "Remove"
"avatareditor.effects.takeinuse": "Wear"
"avatareditor.generic.boy": "Boy"
"avatareditor.generic.girl": "Girl"
"avatareditor.habboclub.info": "HC is required in order to be able to use the wardrobe."
"avatareditor.habboclub.link": "Get HC Membership"
"avatareditor.habboclub.title": "HC Required"
"avatareditor.hotlooks.choose": "Click to choose"
"avatareditor.hotlooks.more": "More Looks"
"avatareditor.hotlooks.title": "Hot Looks from the Hotel"
"avatareditor.invalidclubitems.description": "These clothing items and colors are for HC members only. Become a HC member and enjoy these benefits today. Press ok if you want to remove the Club clothes."
"avatareditor.invalidclubitems.moreinfo": "Join the club"
"avatareditor.invalidclubitems.title": "Thanks for trying out the HC clothing"
"avatareditor.palette.1": "Color 1"
"avatareditor.palette.2": "Color 2"
"avatareditor.promo.instructions": "1. Text \"
"avatareditor.promo.moreinfo": "More info"
"avatareditor.promo.redeem": "Redeem my club"
"avatareditor.promo.showphones": "Show supported phones"
"avatareditor.promo.supportedphones.title": "Supported phones"
"avatareditor.promo.supportedphones": "Habbo Club purchasing works with Sprint PCS, AT&T, Verizon Wireless, Nextel, T-Mobile®, Boost, Cellular One by Dobson Cellular Systems, & U.S. Cellular phones"
"avatareditor.promo.title": "Want more clothes? Get Habbo Club for 30 days & 15 Credits for $5"
"avatareditor.promo.trial.instructions": "Try out Habbo Club:1. Text \"
"avatareditor.promo.trial.title": "Want more clothes? Try out Habbo Club for 7 days with 5 Credits."
"avatareditor.revert": "Revert"
"avatareditor.save.club_room_type": "You are wearing items available only for Habbo Club members. Join today!"
"avatareditor.save.to.activate": "Saving changes will activate this effect"
"avatareditor.save": "Save changes"
"avatareditor.save_outfit": "Save to wardrobe"
"avatareditor.title": "Change Your Looks"
"avatareditor.try.club.clothes.description": "Try on HC clothing."
"avatareditor.try.club.clothes.more": "You can now try on HC clothes. Join HC and wear these clothes everyday."
"avatareditor.try.club.clothes": "Try HC clothes"
"avatareditor.wardrobe.choose": "Click to choose a look"
"avatareditor.wardrobe.club.required": "You can save and easily restore your outfits for later use in the wardrobe, but you need be a member of Habbo Club to use it!"
"avatareditor.wardrobe.club_room_type": "This wardrobe slot is available only for Habbo Club members. Join today!"
"avatareditor.wardrobe.full": "Your wardrobe is full! If you want to save a new outfit, choose one of the old ones to be overwritten."
"avatareditor.wardrobe.save": "Save"
"avatareditor.wardrobe.store": "Click to store your outfit"
"avatareditor.wardrobe.title": "My Wardrobe"
"avatareditor.wardrobe.wear": "Wear"
"camera.alert.too_much_stuff": "Sorry, there are too many items in the view for the camera to capture. Try taking a pic somewhere with less things in view."
"camera.buy.another.button.text": "Buy another"
"camera.buy.button.text": "Buy photo"
"camera.buy.button.tooltip": "Buy this photo as furni"
"camera.competition.email.not.verified": "Only accounts with verified email are eligible for this competition. Go to settings to verify your email and then try again!"
"camera.competition.header": "Submit to Habbo 15 competition - FREE!"
"camera.competition.info": "Rules and more at <a href,\"
"camera.competition.limit.info": "You have submitted your max daily amount."
"camera.competition.submitted.info": "Submitted to Habbo 15!"
"camera.competition.submitted.status": "Submitted! Only your last submit counts."
"camera.confirm_phase.info": "Your image is ready!"
"camera.confirm_phase.title": "Buy or publish"
"camera.delete.button.text": "Delete photo"
"camera.delete.button.tooltip": "Delete this photo"
"camera.editor.button.text": "Edit"
"camera.editor.button.tooltip": "Add filters and effects"
"camera.effect.name.Yellow": "Yellow"
"camera.effect.name.alien_hrd": "Alien slime"
"camera.effect.name.black_white_negative": "Black white negative"
"camera.effect.name.blue": "Blue"
"camera.effect.name.bluemood_mpl": "Blue mood"
"camera.effect.name.coffee_mpl": "Coffee stains"
"camera.effect.name.color_1": "Pale"
"camera.effect.name.color_2": "Gray"
"camera.effect.name.color_3": "Rosy"
"camera.effect.name.color_4": "Light gray"
"camera.effect.name.color_5": "Magenta"
"camera.effect.name.dark_sepia": "Sepia"
"camera.effect.name.decr_conrast": "Decrease contrast"
"camera.effect.name.decrease_saturation": "Decrease saturation"
"camera.effect.name.drops_mpl": "Drops"
"camera.effect.name.finger_nrm": "Oops, finger"
"camera.effect.name.frame_black_2": "Black and white"
"camera.effect.name.frame_gold": "Golden ornament"
"camera.effect.name.frame_gray_4": "Gray"
"camera.effect.name.frame_wood_2": "Wooden"
"camera.effect.name.glitter_hrd": "Rainbow glitter"
"camera.effect.name.green": "Green"
"camera.effect.name.green_2": "Overlit green"
"camera.effect.name.hearts_hardlight_02": "Hearts"
"camera.effect.name.hue_bright_sat": "Strange light"
"camera.effect.name.hypersaturated": "Hypersaturated"
"camera.effect.name.increase_contrast": "Increase contrast"
"camera.effect.name.increase_saturation": "Increase saturation"
"camera.effect.name.misty_hrd": "Misty"
"camera.effect.name.night_vision": "Night vision"
